sim_t,client,soc,temp,throttled,alive,ul,dl,power_W,scale
1.4,0,0.264067,37.2827,0,1,18.4114,18.4114,15.9205,1
1.4,1,0.214067,37.2827,0,1,18.4114,18.4114,15.9205,1
1.4,2,0.520931,34.8388,0,1,13.506,13.506,11.7992,1
1.4,3,0.564067,37.2827,0,1,18.4114,18.4114,15.9205,1
1.4,4,0.320931,34.8388,0,1,13.506,13.506,11.7992,1
1.4,5,0.244067,37.2827,0,1,18.4114,18.4114,15.9205,1
1.4,6,0.792248,34.8388,0,1,13.506,13.506,11.7992,1
1.4,7,0.9,37.2827,0,1,18.4114,18.4114,15.9205,1
1.5,0,0.260984,38.2433,0,1,17.9669,17.9669,15.5384,1
1.5,1,0.210984,38.2433,0,1,17.9669,17.9669,15.5384,1
1.5,2,0.518753,35.498,0,1,12.4906,12.4906,10.9753,1
1.5,3,0.560984,38.2433,0,1,17.9669,17.9669,15.5384,1
1.5,4,0.318753,35.498,0,1,12.4906,12.4906,10.9753,1
1.5,5,0.240984,38.2433,0,1,17.9669,17.9669,15.5384,1
1.5,6,0.791667,35.498,0,1,12.4906,12.4906,10.9753,1
1.5,7,0.9,38.2433,0,1,17.9669,17.9669,15.5384,1
1.6,0,0.258229,39.0642,0,1,16.0241,16.0241,13.8873,1
1.6,1,0.208229,39.0642,0,1,16.0241,16.0241,13.8873,1
1.6,2,0.517147,35.9302,0,1,8.81613,8.81613,8.09587,1
1.6,3,0.558229,39.0642,0,1,16.0241,16.0241,13.8873,1
1.6,4,0.317147,35.9302,0,1,8.81613,8.81613,8.09587,1
1.6,5,0.238229,39.0642,0,1,16.0241,16.0241,13.8873,1
1.6,6,0.791239,35.9302,0,1,8.81613,8.81613,8.09587,1
1.6,7,0.9,39.0642,0,1,16.0241,16.0241,13.8873,1
1.7,0,0.255649,39.8049,0,1,14.965,14.965,13.0016,1
1.7,1,0.205649,39.8049,0,1,14.965,14.965,13.0016,1
1.7,2,0.514919,36.5902,0,1,12.8043,12.8043,11.2286,1
1.7,3,0.555649,39.8049,0,1,14.965,14.965,13.0016,1
1.7,4,0.314919,36.5902,0,1,12.8043,12.8043,11.2286,1
1.7,5,0.235649,39.8049,0,1,14.965,14.965,13.0016,1
1.7,6,0.790645,36.5902,0,1,12.8043,12.8043,11.2286,1
1.7,7,0.9,39.8049,0,1,14.965,14.965,13.0016,1
1.8,0,0.252365,40.7995,0,1,19.142,19.142,16.5523,1
1.8,1,0.202365,40.7995,0,1,19.142,19.142,16.5523,1
1.8,2,0.513162,37.0612,0,1,9.80703,9.80703,8.8552,1
1.8,3,0.552365,40.7995,0,1,19.142,19.142,16.5523,1
1.8,4,0.313162,37.0612,0,1,9.80703,9.80703,8.8552,1
1.8,5,0.232365,40.7995,0,1,19.142,19.142,16.5523,1
1.8,6,0.790176,37.0612,0,1,9.80703,9.80703,8.8552,1
1.8,7,0.9,40.7995,0,1,19.142,19.142,16.5523,1
1.9,0,0.249456,41.6358,1,1,16.9392,16.9392,14.6609,1
1.9,1,0.199456,41.6358,1,1,16.9392,16.9392,14.6609,1
1.9,2,0.510994,37.6794,0,1,12.4267,12.4267,10.9238,1
1.9,3,0.549456,41.6358,1,1,16.9392,16.9392,14.6609,1
1.9,4,0.310994,37.6794,0,1,12.4267,12.4267,10.9238,1
1.9,5,0.229456,41.6358,1,1,16.9392,16.9392,14.6609,1
1.9,6,0.789598,37.6794,0,1,12.4267,12.4267,10.9238,1
1.9,7,0.9,41.6358,1,1,16.9392,16.9392,14.6609,1
2,0,0.24641,42.5102,1,1,17.7532,17.7532,15.3551,1
2,1,0.19641,42.5102,1,1,17.7532,17.7532,15.3551,1
2,2,0.509086,38.1895,0,1,10.7854,10.7854,9.61794,1
2,3,0.54641,42.5102,1,1,17.7532,17.7532,15.3551,1
2,4,0.309086,38.1895,0,1,10.7854,10.7854,9.61794,1
2,5,0.22641,42.5102,1,1,17.7532,17.7532,15.3551,1
2,6,0.78909,38.1895,0,1,10.7854,10.7854,9.61794,1
